"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","QGDP","TOT","PC_CHGPP","Q","2004-Q4",1.022027369,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q1",1.110882508,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.486604478,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.78562198,
"USA","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.567928238,
"USA","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.34866612,
"USA","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.245583731,
"USA","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.150456188,
"USA","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.843711696,
"USA","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.293598861,
"USA","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.63843453,
"USA","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.602306657,
"USA","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.609644003,
"USA","QGDP","TOT","PC_CHGPP","Q","2008-Q1",-0.407429474,
"USA","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.572295345,
"USA","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.526892902,
"USA","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.183097148,
"USA","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-1.165722531,
"USA","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.169238139,
"USA","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.361929991,
"USA","QGDP","TOT","PC_CHGPP","Q","2009-Q4",1.06796195,
"USA","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.500053481,
"USA","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.967704639,
"USA","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.77314415,
"USA","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.519595159,
"USA","QGDP","TOT","PC_CHGPP","Q","2011-Q1",-0.240916068,
"USA","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.678050751,
"USA","QGDP","TOT","PC_CHGPP","Q","2011-Q3",-0.038767163,
"USA","QGDP","TOT","PC_CHGPP","Q","2011-Q4",1.121678183,
"USA","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.817922845,
"USA","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.455859987,
"USA","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.174882978,
"USA","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.109838067,
"USA","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.867789548,
"USA","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.13938522,
"USA","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.791653411,
"USA","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.711171002,
"USA","QGDP","TOT","PC_CHGPP","Q","2014-Q1",-0.350109737,
"USA","QGDP","TOT","PC_CHGPP","Q","2014-Q2",1.284128907,
"USA","QGDP","TOT","PC_CHGPP","Q","2014-Q3",1.164961644,
"USA","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.448993402,
"USA","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.813313626,
"USA","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.580001432,
"USA","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.323372673,
"USA","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.146234347,
"USA","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.589179869,
"USA","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.302388807,
"USA","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.601115379,
"USA","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.496888796,
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.471931042,
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.559764823,
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.719149991,
"USA","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.940399838,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.762854036,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.833910909,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.481952559,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.223141835,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.59779029,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.792924408,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.685498791,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.469097618,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.303582746,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.937250501,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",7.547534636,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.115276766,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.533889627,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.64074654,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.570948111,
"IND","QGDP","TOT","PC_CHGPP","Q","2004-Q4",1.93661,
"IND","QGDP","TOT","PC_CHGPP","Q","2005-Q1",1.75097,
"IND","QGDP","TOT","PC_CHGPP","Q","2005-Q2",3.1669,
"IND","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.39142,
"IND","QGDP","TOT","PC_CHGPP","Q","2005-Q4",2.52791,
"IND","QGDP","TOT","PC_CHGPP","Q","2006-Q1",2.50557,
"IND","QGDP","TOT","PC_CHGPP","Q","2006-Q2",1.43638,
"IND","QGDP","TOT","PC_CHGPP","Q","2006-Q3",3.303,
"IND","QGDP","TOT","PC_CHGPP","Q","2006-Q4",1.71129,
"IND","QGDP","TOT","PC_CHGPP","Q","2007-Q1",2.7934,
"IND","QGDP","TOT","PC_CHGPP","Q","2007-Q2",2.52015,
"IND","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.79448,
"IND","QGDP","TOT","PC_CHGPP","Q","2007-Q4",3.37688,
"IND","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.6059,
"IND","QGDP","TOT","PC_CHGPP","Q","2008-Q2",1.04386,
"IND","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.87024,
"IND","QGDP","TOT","PC_CHGPP","Q","2008-Q4",0.12257,
"IND","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-1.84614,
"IND","QGDP","TOT","PC_CHGPP","Q","2009-Q2",5.80366,
"IND","QGDP","TOT","PC_CHGPP","Q","2009-Q3",2.55388,
"IND","QGDP","TOT","PC_CHGPP","Q","2009-Q4",2.12673,
"IND","QGDP","TOT","PC_CHGPP","Q","2010-Q1",2.60018,
"IND","QGDP","TOT","PC_CHGPP","Q","2010-Q2",2.40256,
"IND","QGDP","TOT","PC_CHGPP","Q","2010-Q3",2.95598,
"IND","QGDP","TOT","PC_CHGPP","Q","2010-Q4",2.32107,
"IND","QGDP","TOT","PC_CHGPP","Q","2011-Q1",1.83064,
"IND","QGDP","TOT","PC_CHGPP","Q","2011-Q2",1.21165,
"IND","QGDP","TOT","PC_CHGPP","Q","2011-Q3",-0.00385,
"IND","QGDP","TOT","PC_CHGPP","Q","2011-Q4",1.62889,
"IND","QGDP","TOT","PC_CHGPP","Q","2012-Q1",1.38078,
"IND","QGDP","TOT","PC_CHGPP","Q","2012-Q2",1.15795,
"IND","QGDP","TOT","PC_CHGPP","Q","2012-Q3",1.794,
"IND","QGDP","TOT","PC_CHGPP","Q","2012-Q4",1.18687,
"IND","QGDP","TOT","PC_CHGPP","Q","2013-Q1",1.59874,
"IND","QGDP","TOT","PC_CHGPP","Q","2013-Q2",1.40382,
"IND","QGDP","TOT","PC_CHGPP","Q","2013-Q3",1.60112,
"IND","QGDP","TOT","PC_CHGPP","Q","2013-Q4",2.20112,
"IND","QGDP","TOT","PC_CHGPP","Q","2014-Q1",1.15901,
"IND","QGDP","TOT","PC_CHGPP","Q","2014-Q2",2.28965,
"IND","QGDP","TOT","PC_CHGPP","Q","2014-Q3",1.8258,
"IND","QGDP","TOT","PC_CHGPP","Q","2014-Q4",1.53397,
"IND","QGDP","TOT","PC_CHGPP","Q","2015-Q1",1.68431,
"IND","QGDP","TOT","PC_CHGPP","Q","2015-Q2",2.14178,
"IND","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.84622,
"IND","QGDP","TOT","PC_CHGPP","Q","2015-Q4",2.03248,
"IND","QGDP","TOT","PC_CHGPP","Q","2016-Q1",2.90232,
"IND","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.78078,
"IND","QGDP","TOT","PC_CHGPP","Q","2016-Q3",2.29133,
"IND","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.3635,
"IND","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.8019,
"IND","QGDP","TOT","PC_CHGPP","Q","2017-Q2",2.0471,
"IND","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.66081,
"IND","QGDP","TOT","PC_CHGPP","Q","2017-Q4",1.87259,
"IND","QGDP","TOT","PC_CHGPP","Q","2018-Q1",2.16028,
"IND","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.30956,
"IND","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.40565,
"IND","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.56202,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.10015,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.09663,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.90235,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.42794,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.19849,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-25.33246,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q3",24.05909,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q4",8.57818,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.37114,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-11.61151,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q3",12.6866,
"DEU","QGDP","TOT","PC_CHGPP","Q","2004-Q4",-0.104814134,
"DEU","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.002889219,
"DEU","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.524597684,
"DEU","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.858172363,
"DEU","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.47142782,
"DEU","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.967042019,
"DEU","QGDP","TOT","PC_CHGPP","Q","2006-Q2",1.722767803,
"DEU","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.768805833,
"DEU","QGDP","TOT","PC_CHGPP","Q","2006-Q4",1.514812212,
"DEU","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.076329825,
"DEU","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.838052558,
"DEU","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.49649169,
"DEU","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.665882926,
"DEU","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.629476702,
"DEU","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.233242288,
"DEU","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.648249182,
"DEU","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-1.593756296,
"DEU","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-4.682227055,
"DEU","QGDP","TOT","PC_CHGPP","Q","2009-Q2",0.159652865,
"DEU","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.557891323,
"DEU","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.735962768,
"DEU","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.806515425,
"DEU","QGDP","TOT","PC_CHGPP","Q","2010-Q2",2.241046536,
"DEU","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.839699329,
"DEU","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.811076295,
"DEU","QGDP","TOT","PC_CHGPP","Q","2011-Q1",1.931018281,
"DEU","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.084194173,
"DEU","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.893792659,
"DEU","QGDP","TOT","PC_CHGPP","Q","2011-Q4",-0.312652447,
"DEU","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.21171715,
"DEU","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.187789145,
"DEU","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.291571972,
"DEU","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.446474462,
"DEU","QGDP","TOT","PC_CHGPP","Q","2013-Q1",-0.466756989,
"DEU","QGDP","TOT","PC_CHGPP","Q","2013-Q2",1.068846451,
"DEU","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.580606006,
"DEU","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.29894409,
"DEU","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.935197772,
"DEU","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0,
"DEU","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.539657201,
"DEU","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.810213546,
"DEU","QGDP","TOT","PC_CHGPP","Q","2015-Q1",-0.527421908,
"DEU","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.706936947,
"DEU","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.501395916,
"DEU","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.429059777,
"DEU","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.817229402,
"DEU","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.413911661,
"DEU","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.34351193,
"DEU","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.312987231,
"DEU","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.218802299,
"DEU","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.780268505,
"DEU","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.879377516,
"DEU","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.805377738,
"DEU","QGDP","TOT","PC_CHGPP","Q","2018-Q1",-0.432376803,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.556977164,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.422456804,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.386536632,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.054195089,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.492566052,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.410949135,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.074416587,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.763973605,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.996215611,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.043062505,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.743386255,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.868714068,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.021482101,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.694275412,"P"
"FRA","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.752986085,
"FRA","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.269489071,
"FRA","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.185880403,
"FRA","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.49861406,
"FRA","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.782041297,
"FRA","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.765962899,
"FRA","QGDP","TOT","PC_CHGPP","Q","2006-Q2",1.000540403,
"FRA","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.011802567,
"FRA","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.797562664,
"FRA","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.743640227,
"FRA","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.756357861,
"FRA","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.357750459,
"FRA","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.23675621,
"FRA","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.393852763,
"FRA","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.42714137,
"FRA","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.276806555,
"FRA","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-1.451517365,
"FRA","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-1.645240416,
"FRA","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.100864069,
"FRA","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.163525175,
"FRA","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.698887433,
"FRA","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.355262099,
"FRA","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.511057261,
"FRA","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.655567361,
"FRA","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.709680537,
"FRA","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.984555021,
"FRA","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.026992349,
"FRA","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.373420091,
"FRA","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.175129027,
"FRA","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.085804951,
"FRA","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.158055446,
"FRA","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.200293537,
"FRA","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.073992559,
"FRA","QGDP","TOT","PC_CHGPP","Q","2013-Q1",-0.014167222,
"FRA","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.65688549,
"FRA","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.018581325,
"FRA","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.484150635,
"FRA","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.06947142,
"FRA","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.120930719,
"FRA","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.504014971,
"FRA","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.095512578,
"FRA","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.468213544,
"FRA","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.010327568,
"FRA","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.340036954,
"FRA","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.157864365,
"FRA","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.617985053,
"FRA","QGDP","TOT","PC_CHGPP","Q","2016-Q2",-0.159747613,
"FRA","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.193245892,
"FRA","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.548904652,
"FRA","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.800278484,
"FRA","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.824861684,
"FRA","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.632762355,
"FRA","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.858705383,
"FRA","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.010018473,
"FRA","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.368185924,
"FRA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.386796731,
"FRA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.743402348,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.619836142,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.555620561,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.062630373,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.326294962,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.697113611,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.464232562,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q3",18.5217501,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q4",-1.053527873,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.054859749,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.266637042,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.011177346,
